date,additions,deletions,owner,repo
1387670400,1240,-118,maticnetwork,bor
1388275200,1906,-756,maticnetwork,bor
1388880000,2116,-2740,maticnetwork,bor
1389484800,1290,-987,maticnetwork,bor
1390089600,1213,-1955,maticnetwork,bor
1390694400,963,-315,maticnetwork,bor
1391299200,807,-729,maticnetwork,bor
1391904000,5094,-471,maticnetwork,bor
1392508800,1834,-766,maticnetwork,bor
1393113600,2789,-1270,maticnetwork,bor
1393718400,1642,-1244,maticnetwork,bor
1394323200,144,-39,maticnetwork,bor
1394928000,3642,-2986,maticnetwork,bor
1395532800,483,-278,maticnetwork,bor
1396137600,208,-119,maticnetwork,bor
1396742400,3466,-1000,maticnetwork,bor
1397347200,1051,-722,maticnetwork,bor
1397952000,1236,-454,maticnetwork,bor
1398556800,11125,-2061,maticnetwork,bor
1399161600,1648,-1256,maticnetwork,bor
1399766400,1925,-1605,maticnetwork,bor
1400371200,1820,-1182,maticnetwork,bor
1400976000,5854,-4751,maticnetwork,bor
1401580800,313,-36,maticnetwork,bor
1402185600,1326,-580,maticnetwork,bor
1402790400,1116,-866,maticnetwork,bor
1403395200,2559,-1688,maticnetwork,bor
1404000000,6329,-18746,maticnetwork,bor
1404604800,869,-1561,maticnetwork,bor
1405209600,1628,-1141,maticnetwork,bor
1405814400,2908,-2286,maticnetwork,bor
1406419200,365,-341,maticnetwork,bor
1407024000,854,-273,maticnetwork,bor
1407628800,5490,-4716,maticnetwork,bor
1408233600,2595,-1403,maticnetwork,bor
1408838400,268,-92,maticnetwork,bor
1409443200,36,0,maticnetwork,bor
1410048000,338,-266,maticnetwork,bor
1410652800,38768,-32911,maticnetwork,bor
1411257600,10955,-1885,maticnetwork,bor
1411862400,17124,-14849,maticnetwork,bor
1412467200,2223,-1513,maticnetwork,bor
1413072000,36166,-18114,maticnetwork,bor
1413676800,6642,-2295,maticnetwork,bor
1414281600,14378,-13203,maticnetwork,bor
1414886400,38368,-35893,maticnetwork,bor
1415491200,18429,-9521,maticnetwork,bor
